번호,카테고리,한국어,영어,베트남어,로마자,수정 제안,비고
1,인사,안녕하세요.,Hello.,Xin chào.,sin chao,,기존
2,인사,안녕하세요. 만나서 반갑습니다.,Hello. Nice to meet you.,Xin chào. Rất vui được gặp bạn.,"sin chao, rat vui duoc gap ban",,기존
3,인사,감사합니다.,Thank you.,Cảm ơn.,kam un,,기존
4,인사,정말 감사합니다.,Thank you very much.,Cảm ơn rất nhiều.,kam un rat nhieu,,기존
5,인사,죄송합니다.,I'm sorry.,Xin lỗi.,sin loi,,기존
6,인사,괜찮습니다.,It's okay.,Không sao.,khong sao,,기존
7,인사,잘 지내세요?,How are you?,Bạn khỏe không?,ban khoe khong,,기존
8,인사,잘 지냅니다.,I'm doing well.,Tôi khỏe.,toi khoe,,기존
9,인사,또 만나요.,See you again.,Hẹn gặp lại.,hen gap lai,,기존
10,인사,안녕히 가세요.,Goodbye.,Tạm biệt.,tam biet,,기존
11,자기소개,저는 한국 사람입니다.,I am Korean.,Tôi là người Hàn Quốc.,toi la nguoi han quoc,,기존
12,자기소개,저는 한국에서 왔습니다.,I am from Korea.,Tôi đến từ Hàn Quốc.,toi den tu han quoc,,기존
13,자기소개,제 이름은 ___입니다.,My name is ___.,Tên tôi là ___.,ten toi la ___,,기존
14,자기소개,당신의 이름은 무엇입니까?,What is your name?,Bạn tên là gì?,ban ten la gi,,기존
15,자기소개,저는 태국어를 배우고 있습니다.,I am learning Thai.,Tôi đang học tiếng Thái.,toi dang hoc tieng thai,,기존
16,자기소개,태국어를 조금 할 수 있습니다.,I can speak a little Thai.,Tôi nói được một chút tiếng Thái.,toi noi duoc mot chut tieng thai,,기존
17,자기소개,저는 영어를 조금 할 수 있습니다.,I can speak a little English.,Tôi nói được một chút tiếng Anh.,toi noi duoc mot chut tieng anh,,기존
18,자기소개,저는 이해했습니다.,I understand.,Tôi hiểu rồi.,toi hieu roi,,기존
19,자기소개,저는 이해하지 못했습니다.,I don't understand.,Tôi không hiểu.,toi khong hieu,,기존
20,자기소개,천천히 말씀해 주세요.,Please speak slowly.,Vui lòng nói chậm thôi.,vui long noi cham thoi,,기존
21,기초응답,네.,Yes.,Vâng.,vang,,기존
22,기초응답,아니요.,No.,Không.,khong,,기존
23,기초응답,맞습니다.,That's right.,Đúng rồi.,dung roi,,기존
24,기초응답,아닙니다.,That's not right.,Không đúng.,khong dung,,기존
25,기초응답,좋습니다.,Good.,Tốt.,tot,,기존
26,기초응답,좋지 않습니다.,Not good.,Không tốt.,khong tot,,기존
27,기초응답,괜찮아요?,Are you okay?,Bạn ổn không?,ban on khong,,기존
28,기초응답,괜찮아요.,I'm okay.,Tôi ổn.,toi on,,기존
29,기초응답,문제 없습니다.,No problem.,Không có vấn đề gì.,khong co van de gi,,기존
30,기초응답,다시 말해 주세요.,Please say it again.,Vui lòng nói lại.,vui long noi lai,,기존
31,숫자/시간,이것은 얼마입니까?,How much is this?,Cái này bao nhiêu tiền?,cai nay bao nhieu tien,,기존
32,숫자/시간,너무 비쌉니다.,It's too expensive.,Đắt quá.,dat qua,,기존
33,숫자/시간,조금 깎아 주세요.,Please give me a discount.,Vui lòng giảm giá một chút.,vui long giam gia mot chut,,기존
34,숫자/시간,몇 시입니까?,What time is it?,Mấy giờ rồi?,may gio roi,,기존
35,숫자/시간,오늘입니다.,It's today.,Là hôm nay.,la hom nay,,기존
36,숫자/시간,내일입니다.,It's tomorrow.,Là ngày mai.,la ngay mai,,기존
37,숫자/시간,어제입니다.,It was yesterday.,Là hôm qua.,la hom qua,,기존
38,숫자/시간,지금 가겠습니다.,I'll go now.,Tôi sẽ đi ngay bây giờ.,toi se di ngay bay gio,,기존
39,숫자/시간,잠시만 기다려 주세요.,Please wait a moment.,Vui lòng đợi một chút.,vui long doi mot chut,,기존
40,숫자/시간,10분 정도 걸립니다.,It takes about ten minutes.,Mất khoảng mười phút.,mat khoang muoi phut,,기존
41,이동,여기는 어디입니까?,Where is this place?,Đây là đâu?,day la dau,,기존
42,이동,화장실은 어디입니까?,Where is the restroom?,Nhà vệ sinh ở đâu?,nha ve sinh o dau,,기존
