번호,카테고리,한국어,영어,태국어(남성형),태국어(여성형),로마자,수정 제안,비고
1,인사,안녕하세요.,Hello.,สวัสดีครับ,สวัสดีค่ะ,sa-wat-dee khrab,,기존
2,인사,안녕하세요. 만나서 반갑습니다.,Hello. Nice to meet you.,สวัสดีครับ ยินดีที่ได้รู้จักครับ,สวัสดีค่ะ ยินดีที่ได้รู้จักค่ะ,"sa-wat-dee khrab, yin-dee thee dai roo-jak khrab",,기존
3,인사,감사합니다.,Thank you.,ขอบคุณครับ,ขอบคุณค่ะ,khop khun khrab,,기존
4,인사,정말 감사합니다.,Thank you very much.,ขอบคุณมากครับ,ขอบคุณมากค่ะ,khop khun maak khrab,,기존
5,인사,죄송합니다.,I'm sorry.,ขอโทษครับ,ขอโทษค่ะ,khor thot khrab,,기존
6,인사,괜찮습니다.,It's okay.,ไม่เป็นไรครับ,ไม่เป็นไรค่ะ,mai pen rai khrab,,기존
7,인사,잘 지내세요?,How are you?,สบายดีไหมครับ,สบายดีไหมคะ,sa-baai dee mai khrab,,기존
8,인사,잘 지냅니다.,I'm doing well.,สบายดีครับ,สบายดีค่ะ,sa-baai dee khrab,,기존
9,인사,또 만나요.,See you again.,แล้วพบกันใหม่ครับ,แล้วพบกันใหม่ค่ะ,laeo phop gan mai khrab,,기존
10,인사,안녕히 가세요.,Goodbye.,ลาก่อนครับ,ลาก่อนค่ะ,laa gon khrab,,기존
11,자기소개,저는 한국 사람입니다.,I am Korean.,ผมเป็นคนเกาหลี,ฉันเป็นคนเกาหลี,phom pen khon gao-lee,,기존
12,자기소개,저는 한국에서 왔습니다.,I am from Korea.,ผมมาจากเกาหลี,ฉันมาจากเกาหลี,phom maa jaak gao-lee,,기존
13,자기소개,제 이름은 ___입니다.,My name is ___.,ผมชื่อ ___,ฉันชื่อ ___,phom chue ___,,기존
14,자기소개,당신의 이름은 무엇입니까?,What is your name?,คุณชื่ออะไรครับ,คุณชื่ออะไรคะ,khun chue a-rai khrab,,기존
15,자기소개,저는 태국어를 배우고 있습니다.,I am learning Thai.,ผมกำลังเรียนภาษาไทย,ฉันกำลังเรียนภาษาไทย,phom gam-lang rian phaa-saa thai,,기존
16,자기소개,태국어를 조금 할 수 있습니다.,I can speak a little Thai.,ผมพูดภาษาไทยได้นิดหน่อย,ฉันพูดภาษาไทยได้นิดหน่อย,phom phoot phaa-saa thai dai nit noi,,기존
17,자기소개,저는 영어를 조금 할 수 있습니다.,I can speak a little English.,ผมพูดภาษาอังกฤษได้นิดหน่อย,ฉันพูดภาษาอังกฤษได้นิดหน่อย,phom phoot phaa-saa ang-grit dai nit noi,,기존
18,자기소개,저는 이해했습니다.,I understand.,ผมเข้าใจแล้วครับ,ฉันเข้าใจแล้วค่ะ,phom khao jai laeo khrab,,기존
19,자기소개,저는 이해하지 못했습니다.,I don't understand.,ผมไม่เข้าใจครับ,ฉันไม่เข้าใจค่ะ,phom mai khao jai khrab,,기존
20,자기소개,천천히 말씀해 주세요.,Please speak slowly.,กรุณาพูดช้า ๆ ครับ,กรุณาพูดช้า ๆ ค่ะ,ga-ru-naa phoot chaa chaa khrab,,기존
21,기초응답,네.,Yes.,ใช่ครับ,ใช่ค่ะ,chai khrab,,기존
22,기초응답,아니요.,No.,ไม่ใช่ครับ,ไม่ใช่ค่ะ,mai chai khrab,,기존
23,기초응답,맞습니다.,That's right.,ถูกต้องครับ,ถูกต้องค่ะ,thook tong khrab,,기존
24,기초응답,아닙니다.,That's not right.,ไม่ถูกครับ,ไม่ถูกค่ะ,mai thook khrab,,기존
25,기초응답,좋습니다.,Good.,ดีครับ,ดีค่ะ,dee khrab,,기존
